Parm;PM10;NO2;NO;NOX;IQA
5/5/21 4.00;11.48;6.76;0.65;8.23;23
5/5/21 6.00;10.01;19.15;3.22;24.56;20
5/5/21 8.00;15.38;18.36;5.35;27.03;31
5/5/21 10.00;19.78;19.31;3.09;24.50;40
5/5/21 12.00;17.09;20.71;6.40;31.00;34
5/5/21 14.00;13.68;16.16;4.49;23.51;27
5/5/21 16.00;17.09;13.66;3.72;19.83;34
5/5/21 18.00;18.07;18.19;5.27;26.73;36
5/5/21 20.00;11.97;31.86;5.51;40.77;24
5/5/21 22.00;17.58;7.49;0.57;8.83;35
6/5/21 0.00;17.58;6.61;0.35;7.60;35
6/5/21 2.00;45.67;2.13;0.38;3.18;91
6/5/21 4.00;22.71;6.49;0.74;8.10;45
6/5/21 6.00;14.16;17.40;1.60;20.31;28
6/5/21 8.00;7.08;15.22;3.12;20.46;14
6/5/21 10.00;3.42;7.22;1.03;9.26;7
6/5/21 12.00;20.76;15.43;3.83;21.76;42
6/5/21 14.00;10.26;15.40;3.54;21.29;21
6/5/21 16.00;17.34;16.17;3.22;21.57;35
6/5/21 18.00;13.43;11.07;1.95;14.52;27
6/5/21 20.00;17.34;10.23;1.02;12.26;35
6/5/21 22.00;15.87;6.94;0.58;8.30;32
7/5/21 0.00;12.45;6.10;0.48;7.29;25
7/5/21 2.00;11.23;4.41;0.95;6.33;22
7/5/21 4.00;12.21;8.18;1.10;10.33;24
7/5/21 6.00;10.01;27.72;8.04;40.51;20
7/5/21 8.00;12.21;16.50;2.40;20.64;24
7/5/21 10.00;10.26;8.59;1.17;10.85;21
7/5/21 12.00;38.83;8.83;1.33;11.33;78
7/5/21 14.00;19.29;10.52;1.65;13.51;39
7/5/21 16.00;21.25;16.70;3.13;21.97;42
7/5/21 18.00;22.22;24.07;4.74;31.79;44
7/5/21 20.00;22.71;12.67;1.11;14.85;45
7/5/21 22.00;21.73;8.35;0.57;9.70;43
8/5/21 0.00;19.54;4.23;0.41;5.32;39
8/5/21 2.00;14.16;2.81;0.05;3.35;28
8/5/21 4.00;11.48;4.43;0.62;5.85;23
8/5/21 6.00;12.70;7.53;0.70;9.06;25
8/5/21 8.00;46.89;10.25;1.30;12.71;94
8/5/21 10.00;23.44;10.27;2.94;15.25;47
8/5/21 12.00;11.72;9.81;2.66;14.35;23
8/5/21 14.00;5.86;6.80;2.14;10.55;12
8/5/21 16.00;36.39;8.60;2.13;12.32;73
8/5/21 18.00;18.56;9.92;1.92;13.32;37
8/5/21 20.00;14.65;17.39;1.59;20.30;29
8/5/21 22.00;12.70;18.87;0.83;20.60;25
9/5/21 0.00;12.94;9.20;0.44;10.35;26
9/5/21 2.00;8.30;5.14;0.04;5.67;17
9/5/21 4.00;9.04;2.65;0.04;3.19;18
9/5/21 6.00;7.08;7.72;0.99;9.70;14
9/5/21 8.00;6.35;8.57;0.97;10.52;13
9/5/21 10.00;13.43;9.42;1.79;12.62;27
9/5/21 12.00;11.72;16.97;4.85;24.88;23
9/5/21 14.00;8.79;6.50;1.09;8.63;18
9/5/21 16.00;33.46;7.95;1.60;10.87;67
9/5/21 18.00;57.14;14.05;2.89;18.95;114
9/5/21 20.00;28.57;25.26;3.04;30.38;57
9/5/21 22.00;14.16;19.38;0.68;20.88;28
10/5/21 0.00;7.08;4.72;0.71;6.27;14
10/5/21 2.00;3.42;3.56;0.56;4.89;7
10/5/21 4.00;31.75;8.57;1.44;11.25;63
10/5/21 6.00;15.87;16.11;0.95;18.03;32
10/5/21 8.00;7.81;34.86;12.14;53.93;27
10/5/21 10.00;22.47;20.27;4.35;27.40;45
10/5/21 12.00;11.23;17.21;3.42;22.91;22
10/5/21 14.00;16.12;14.08;1.92;17.48;32
10/5/21 16.00;8.06;16.56;2.60;21.00;16
10/5/21 18.00;18.32;14.87;2.02;18.43;37
10/5/21 20.00;18.32;15.03;1.24;17.39;37
10/5/21 22.00;23.44;8.65;0.83;10.39;47
11/5/21 0.00;22.95;3.81;0.38;4.87;46
11/5/21 2.00;51.28;4.13;0.43;5.25;103
11/5/21 4.00;25.89;4.33;0.35;5.34;52
11/5/21 6.00;12.70;15.98;1.73;19.11;25
11/5/21 8.00;21.73;26.29;4.73;34.00;43
11/5/21 10.00;10.74;37.00;11.09;54.47;27
11/5/21 12.00;5.37;21.01;3.86;27.38;14
11/5/21 14.00;2.69;12.85;2.07;16.49;8
11/5/21 16.00;6.59;8.09;1.18;10.37;13
11/5/21 18.00;51.04;11.26;1.17;13.52;102
11/5/21 20.00;25.40;13.35;0.97;15.30;51
11/5/21 22.00;12.70;9.41;0.68;10.92;25
12/5/21 0.00;6.35;4.21;0.24;5.04;13
12/5/21 2.00;31.50;3.05;0.24;3.88;63
12/5/21 4.00;15.63;4.22;0.74;5.82;31
12/5/21 6.00;13.19;9.15;0.83;10.89;26
12/5/21 8.00;6.59;12.50;2.01;16.05;13
12/5/21 10.00;22.47;6.89;0.83;8.62;45
12/5/21 12.00;11.23;22.11;5.17;30.50;22
12/5/21 14.00;5.62;12.90;2.83;17.71;11
12/5/21 16.00;2.69;11.46;2.52;15.79;8
12/5/21 18.00;11.48;16.51;2.74;21.18;23
12/5/21 20.00;14.90;16.34;1.33;18.84;30
12/5/21 22.00;11.23;5.99;0.66;7.47;22
13/5/21 0.00;8.79;4.92;0.07;5.50;18
13/5/21 2.00;11.97;3.44;0.17;4.16;24
13/5/21 4.00;10.74;2.76;0.00;3.22;21
13/5/21 6.00;50.55;7.99;0.62;9.40;101
13/5/21 8.00;25.15;6.93;1.17;9.19;50
13/5/21 10.00;21.00;5.67;0.78;7.33;42
13/5/21 12.00;10.50;20.52;5.25;29.04;21
13/5/21 14.00;5.13;18.12;3.99;24.71;12
13/5/21 16.00;21.25;13.94;3.37;19.58;42
13/5/21 18.00;18.56;31.30;8.97;45.50;37
13/5/21 20.00;9.77;9.29;0.98;11.26;20
13/5/21 22.00;19.78;7.61;0.42;8.72;40
14/5/21 0.00;16.85;1.56;0.05;2.10;34
14/5/21 2.00;13.43;0.69;0.01;1.18;27
14/5/21 4.00;45.42;2.32;0.16;3.03;91
14/5/21 6.00;22.71;10.29;0.82;12.01;45
14/5/21 8.00;11.23;8.14;0.98;10.11;22
14/5/21 10.00;5.62;5.60;0.89;7.43;11
14/5/21 12.00;2.69;10.83;1.73;13.94;7
14/5/21 14.00;15.38;11.45;2.27;15.40;31
14/5/21 16.00;7.57;11.05;2.44;15.26;15
14/5/21 18.00;9.52;13.93;3.56;19.85;19
14/5/21 20.00;13.43;25.52;5.03;33.70;27
14/5/21 22.00;16.61;16.22;1.07;18.32;33
15/5/21 0.00;21.73;5.22;0.07;5.79;43
15/5/21 2.00;15.87;2.23;0.20;3.00;32
15/5/21 4.00;8.79;3.86;0.17;4.58;18
15/5/21 6.00;38.34;13.77;0.71;15.32;77
15/5/21 8.00;19.05;7.73;1.29;10.17;38
15/5/21 10.00;9.52;6.91;1.05;8.99;19
15/5/21 12.00;4.64;11.78;1.64;14.76;9
15/5/21 14.00;27.59;7.75;1.63;10.72;55
15/5/21 16.00;13.68;8.75;2.63;13.25;27
15/5/21 18.00;12.70;13.67;3.49;19.49;25
15/5/21 20.00;10.74;22.84;4.94;30.88;21
15/5/21 22.00;12.94;16.65;0.65;18.11;26
16/5/21 0.00;12.21;9.52;0.55;10.82;24
16/5/21 2.00;17.09;2.87;0.32;3.84;34
16/5/21 4.00;37.85;1.98;0.33;2.95;76
16/5/21 6.00;18.80;6.82;0.99;8.80;38
16/5/21 8.00;19.05;5.60;0.67;7.10;38
16/5/21 10.00;9.52;17.69;4.66;25.30;19
16/5/21 12.00;4.64;12.03;3.07;17.19;9
16/5/21 14.00;20.76;6.39;1.02;8.43;42
16/5/21 16.00;10.26;7.23;1.37;9.80;21
16/5/21 18.00;8.06;12.99;1.80;16.21;16
16/5/21 20.00;10.50;17.92;2.60;22.36;21
16/5/21 22.00;16.36;20.10;0.89;21.92;33
17/5/21 0.00;24.42;6.00;1.09;8.13;49
17/5/21 2.00;47.86;3.75;0.60;5.12;96
17/5/21 4.00;23.93;4.48;0.44;5.62;48
17/5/21 6.00;11.97;10.12;1.24;12.48;24
17/5/21 8.00;5.86;13.73;2.64;18.24;12
17/5/21 10.00;2.93;6.15;0.99;8.13;6
17/5/21 12.00;1.47;19.61;4.86;27.52;14
17/5/21 14.00;29.55;18.16;4.16;25.01;59
17/5/21 16.00;14.65;15.64;2.05;19.24;29
17/5/21 18.00;17.09;18.88;3.44;24.61;34
17/5/21 20.00;14.16;32.59;0.93;34.47;28
17/5/21 22.00;22.47;12.74;0.54;14.03;45
18/5/21 0.00;22.22;4.60;0.47;5.79;44
18/5/21 2.00;12.94;3.22;0.34;4.21;26
18/5/21 4.00;10.01;3.99;0.36;5.01;20
18/5/21 6.00;13.43;11.83;1.20;14.13;27
18/5/21 8.00;47.86;22.96;5.54;31.92;96
18/5/21 10.00;23.93;14.37;3.60;20.36;48
18/5/21 12.00;23.69;14.71;3.83;21.03;47
18/5/21 14.00;11.72;14.86;3.50;20.68;23
18/5/21 16.00;5.86;12.94;2.69;17.54;12
18/5/21 18.00;7.81;14.75;2.99;19.80;16
18/5/21 20.00;7.57;18.02;1.41;20.63;15
18/5/21 22.00;15.87;7.66;0.66;9.13;32
19/5/21 0.00;19.78;4.45;0.21;5.23;40
19/5/21 2.00;51.04;4.35;0.20;5.12;102
19/5/21 4.00;25.40;3.51;0.45;4.67;51
19/5/21 6.00;12.70;12.57;1.11;14.74;25
19/5/21 8.00;6.35;12.51;2.81;17.28;13
19/5/21 10.00;3.17;5.40;0.87;7.20;6
19/5/21 12.00;1.47;7.37;1.25;9.74;5
19/5/21 14.00;35.90;11.39;2.98;16.43;72
19/5/21 16.00;17.83;9.90;1.56;12.76;36
19/5/21 18.00;18.32;7.27;1.14;9.48;37
19/5/21 20.00;10.74;12.00;2.42;16.18;21
19/5/21 22.00;20.02;5.51;1.14;7.72;40
20/5/21 0.00;15.14;2.90;0.43;4.02;30
20/5/21 2.00;12.94;1.96;0.54;3.25;26
20/5/21 4.00;6.84;3.06;0.60;4.44;14
20/5/21 6.00;40.54;11.20;1.06;13.29;81
20/5/21 8.00;20.27;12.81;1.66;15.81;41
20/5/21 10.00;10.01;10.01;2.40;14.15;20
20/5/21 12.00;4.88;9.25;1.88;12.60;10
20/5/21 14.00;2.44;8.29;1.97;11.76;6
20/5/21 16.00;1.22;8.20;1.87;11.53;6
20/5/21 18.00;4.88;9.48;2.10;13.16;10
20/5/21 20.00;18.56;12.72;1.78;15.92;37
20/5/21 22.00;18.56;5.96;0.51;7.22;37
21/5/21 0.00;14.41;5.37;0.25;6.21;29
21/5/21 2.00;45.67;7.16;0.25;8.01;91
21/5/21 4.00;22.71;4.43;0.36;5.45;45
21/5/21 6.00;11.48;11.63;0.97;13.59;23
21/5/21 8.00;5.62;16.46;3.83;22.79;11
21/5/21 10.00;2.69;11.70;2.83;16.49;8
21/5/21 12.00;1.22;11.85;3.08;17.03;9
21/5/21 14.00;31.26;8.26;1.42;10.90;63
21/5/21 16.00;15.63;11.15;2.80;15.91;31
21/5/21 18.00;49.57;13.00;2.94;17.96;99
21/5/21 20.00;24.66;30.71;2.68;35.28;49
21/5/21 22.00;12.21;19.46;1.00;21.45;24
22/5/21 0.00;6.11;6.95;0.28;7.84;12
22/5/21 2.00;2.93;2.75;0.43;3.88;6
22/5/21 4.00;41.03;5.33;0.03;5.84;82
22/5/21 6.00;20.27;14.03;1.21;16.35;41
22/5/21 8.00;10.01;12.92;1.85;16.22;20
22/5/21 10.00;4.88;9.33;1.17;11.59;10
22/5/21 12.00;15.14;8.51;0.88;10.32;30
22/5/21 14.00;7.57;8.09;0.69;9.61;15
22/5/21 16.00;3.66;6.82;0.65;8.28;7
22/5/21 18.00;4.40;10.78;0.77;12.43;9
22/5/21 20.00;15.14;12.52;1.01;14.53;30
22/5/21 22.00;20.02;10.75;0.55;12.07;40
23/5/21 0.00;25.89;7.92;0.57;9.25;52
23/5/21 2.00;22.47;4.97;0.44;6.10;45
23/5/21 4.00;18.56;5.97;0.45;7.13;37
23/5/21 6.00;21.73;6.87;0.65;8.33;43
23/5/21 8.00;20.51;9.71;1.37;12.28;41
23/5/21 10.00;23.93;9.21;1.28;11.64;48
23/5/21 12.00;17.09;14.29;3.14;19.57;34
23/5/21 14.00;16.12;6.20;1.26;8.60;32
23/5/21 16.00;13.68;8.62;1.06;10.71;27
23/5/21 18.00;18.32;24.35;1.24;26.71;37
23/5/21 20.00;26.62;18.43;0.99;20.41;53
23/5/21 22.00;32.23;9.95;0.70;11.49;64
24/5/21 0.00;17.34;7.31;0.60;8.69;35
24/5/21 2.00;22.71;4.55;0.55;5.86;45
24/5/21 4.00;20.27;6.42;0.88;8.23;41
24/5/21 6.00;13.43;19.36;2.67;23.92;27
24/5/21 8.00;15.38;22.20;5.69;31.39;31
24/5/21 10.00;27.59;19.06;2.62;23.54;55
24/5/21 12.00;28.33;14.41;1.88;17.76;57
24/5/21 14.00;20.76;9.12;1.28;11.55;42
24/5/21 16.00;25.15;8.50;1.26;10.90;50
24/5/21 18.00;27.35;11.27;1.42;13.91;55
24/5/21 20.00;24.42;10.09;1.02;12.12;49
24/5/21 22.00;31.26;6.74;0.71;8.30;63
25/5/21 0.00;22.22;5.25;0.38;6.30;44
25/5/21 2.00;24.42;4.32;0.01;4.81;49
25/5/21 4.00;22.71;6.49;0.31;7.43;45
25/5/21 6.00;15.14;16.51;1.54;19.33;30
25/5/21 8.00;12.45;24.28;4.36;31.43;25
25/5/21 10.00;23.69;15.84;3.23;21.26;47
25/5/21 12.00;29.55;14.04;3.51;19.88;59
25/5/21 14.00;20.76;12.09;3.03;17.20;42
25/5/21 16.00;15.14;12.77;3.28;18.27;30
25/5/21 18.00;16.36;16.43;3.88;22.84;33
25/5/21 20.00;20.02;21.97;3.16;27.28;40
25/5/21 22.00;19.05;25.49;0.86;27.27;38
26/5/21 0.00;20.76;16.81;0.41;17.90;42
26/5/21 2.00;16.12;6.38;0.53;7.66;32
26/5/21 10.00;29.30;14.29;4.27;21.24;59
26/5/21 12.00;48.84;16.78;3.52;22.48;98
26/5/21 14.00;24.42;14.99;3.02;19.99;49
26/5/21 16.00;14.41;17.47;3.77;23.53;29
26/5/21 18.00;15.63;22.69;4.67;29.93;31
26/5/21 20.00;45.67;22.81;0.97;24.38;91
26/5/21 22.00;22.71;22.16;0.98;23.77;45
27/5/21 0.00;11.23;14.96;0.60;16.26;22
27/5/21 2.00;8.55;3.64;0.60;5.35;17
27/5/21 4.00;17.58;5.02;0.38;6.34;35
27/5/21 6.00;12.21;20.79;2.25;24.39;24
27/5/21 8.00;7.81;33.36;11.11;50.08;25
27/5/21 10.00;26.62;14.61;2.54;18.90;53
27/5/21 12.00;21.00;21.42;5.29;29.67;42
27/5/21 14.00;16.85;14.87;3.55;20.70;34
27/5/21 16.00;9.04;14.67;4.02;21.22;18
27/5/21 18.00;12.70;21.84;3.84;27.85;25
27/5/21 20.00;9.04;38.01;5.64;46.17;23
27/5/21 22.00;12.94;43.33;1.74;45.31;26
28/5/21 0.00;22.95;15.05;0.54;16.25;46
28/5/21 2.00;29.30;6.06;0.93;8.19;59
28/5/21 4.00;17.83;8.58;0.89;11.51;36
28/5/21 6.00;15.87;31.31;5.10;39.88;32
28/5/21 8.00;23.69;20.08;4.83;28.64;47
28/5/21 10.00;27.84;12.91;2.83;18.66;56
28/5/21 12.00;14.90;17.17;3.94;24.45;30
28/5/21 14.00;13.43;10.58;2.08;15.25;27
28/5/21 16.00;46.89;9.99;2.52;15.36;94
28/5/21 18.00;24.91;13.56;2.72;19.11;50
28/5/21 20.00;16.85;18.61;2.54;23.70;34
28/5/21 22.00;22.95;14.07;0.76;16.60;46
29/5/21 0.00;14.16;13.43;0.82;16.08;28
29/5/21 2.00;15.87;4.42;0.69;7.18;32
29/5/21 4.00;9.52;2.17;0.60;4.89;19
29/5/21 6.00;10.01;11.57;1.53;15.36;20
29/5/21 8.00;6.84;19.94;3.11;25.86;14
29/5/21 10.00;9.77;15.51;3.77;22.61;20
29/5/21 12.00;12.21;16.09;5.55;25.88;24
29/5/21 14.00;11.72;7.82;1.65;11.95;23
29/5/21 16.00;41.76;8.95;2.38;14.14;84
29/5/21 18.00;22.95;12.36;2.73;17.98;46
29/5/21 20.00;17.34;20.76;4.52;28.82;35
29/5/21 22.00;22.22;25.06;0.86;27.35;44
30/5/21 0.00;21.49;26.19;1.13;28.86;43
30/5/21 2.00;22.71;18.92;0.47;20.83;45
30/5/21 4.00;12.21;7.26;0.60;9.76;24
30/5/21 6.00;19.29;10.04;1.65;14.04;39
30/5/21 8.00;18.56;9.46;1.62;13.43;37
30/5/21 10.00;20.76;7.84;1.77;12.11;42
30/5/21 12.00;16.61;11.15;1.62;15.07;33
30/5/21 14.00;21.73;7.58;1.88;12.03;43
30/5/21 16.00;49.08;4.84;0.92;7.93;98
30/5/21 18.00;27.11;6.74;0.94;9.78;54
30/5/21 20.00;47.13;17.90;3.85;24.95;94
30/5/21 22.00;23.44;12.15;1.01;15.09;47
31/5/21 0.00;21.00;7.90;0.81;10.70;42
31/5/21 2.00;10.50;2.85;0.60;5.52;21
31/5/21 4.00;13.43;2.63;0.69;5.46;27
31/5/21 6.00;6.59;13.25;1.75;17.27;13
31/5/21 8.00;3.17;12.08;3.21;18.39;9
31/5/21 10.00;1.47;8.78;3.22;15.24;8
31/5/21 12.00;0.73;9.65;3.91;17.14;9
31/5/21 14.00;0.24;5.81;2.31;10.99;5
31/5/21 16.00;32.97;8.80;3.55;15.77;66
31/5/21 18.00;19.54;12.70;4.07;20.30;39
31/5/21 20.00;27.59;15.86;3.59;22.60;55
31/5/21 22.00;18.80;7.45;1.45;11.24;38
1/6/21 0.00;9.28;3.67;0.60;6.31;19
1/6/21 2.00;4.88;2.23;0.62;4.96;10
1/6/21 4.00;6.35;2.36;0.56;4.84;13
1/6/21 6.00;6.35;10.58;1.39;14.01;13
1/6/21 8.00;12.45;14.98;3.35;21.24;25
1/6/21 10.00;11.72;11.18;2.71;16.60;23
1/6/21 12.00;17.58;10.78;3.38;17.25;35
1/6/21 14.00;12.94;9.59;2.24;14.37;26
1/6/21 16.00;41.51;8.29;2.35;13.28;83
1/6/21 18.00;23.93;13.94;2.96;19.64;48
1/6/21 20.00;16.61;26.91;2.95;32.09;33
1/6/21 22.00;22.71;26.80;0.61;28.39;45
2/6/21 0.00;46.40;9.73;0.67;12.09;93
2/6/21 2.00;23.20;2.77;0.59;5.28;46
2/6/21 4.00;11.48;2.47;0.60;5.02;23
2/6/21 6.00;5.62;13.63;2.39;18.48;11
2/6/21 8.00;6.35;5.31;0.96;8.29;13
2/6/21 10.00;6.11;12.59;3.14;18.62;12
2/6/21 12.00;9.77;9.22;2.47;14.37;20
2/6/21 14.00;7.08;3.96;0.96;6.99;14
2/6/21 16.00;10.74;6.10;1.39;9.70;21
2/6/21 18.00;7.57;8.54;1.75;12.61;15
2/6/21 20.00;12.70;16.52;2.15;20.88;25
2/6/21 22.00;17.58;28.21;0.91;30.21;35
3/6/21 0.00;16.36;16.08;0.59;18.06;33
3/6/21 2.00;11.72;6.56;0.51;8.81;23
3/6/21 4.00;9.04;5.22;0.60;7.99;18
3/6/21 6.00;15.38;19.39;2.35;24.16;31
3/6/21 8.00;15.14;47.98;13.61;68.62;34
3/6/21 10.00;21.25;19.03;4.13;26.54;42
3/6/21 12.00;17.83;21.32;4.95;29.99;36
3/6/21 14.00;12.70;14.64;2.67;20.13;25
3/6/21 16.00;39.32;17.91;3.46;24.46;79
3/6/21 18.00;22.95;25.35;4.92;33.78;46
3/6/21 20.00;17.83;30.57;3.01;35.81;36
3/6/21 22.00;15.38;43.94;1.14;45.67;31
4/6/21 0.00;26.13;19.79;1.25;22.85;52
4/6/21 2.00;22.47;4.96;0.75;7.97;45
4/6/21 4.00;16.36;4.10;0.60;6.93;33
4/6/21 6.00;19.05;20.70;2.80;26.09;38
4/6/21 8.00;11.72;40.19;7.63;52.05;26
4/6/21 10.00;16.61;19.91;3.16;25.90;33
4/6/21 12.00;22.22;15.83;2.52;21.04;44
4/6/21 14.00;10.99;15.60;2.86;21.34;22
4/6/21 16.00;14.65;20.09;3.60;26.73;29
4/6/21 18.00;16.12;23.10;4.47;30.94;32
4/6/21 20.00;9.77;34.93;4.52;42.26;21
4/6/21 22.00;18.07;26.34;1.21;29.02;36
5/6/21 0.00;31.75;17.83;0.80;20.30;63
5/6/21 2.00;36.14;5.14;0.67;8.02;72
5/6/21 4.00;27.59;2.97;0.68;7.14;55
5/6/21 6.00;20.27;17.08;1.64;22.05;41
5/6/21 8.00;25.64;21.23;2.57;27.42;51
5/6/21 10.00;30.28;20.32;4.00;28.75;61
5/6/21 12.00;20.02;16.20;3.24;23.67;40
5/6/21 14.00;15.14;9.93;1.67;15.29;30
5/6/21 16.00;12.70;17.15;1.90;22.52;25
5/6/21 18.00;17.83;18.28;1.78;23.40;36
5/6/21 20.00;26.37;31.97;1.61;36.18;53
5/6/21 22.00;22.47;12.61;0.81;16.52;45
6/6/21 0.00;30.04;11.95;1.21;16.51;60
6/6/21 2.00;28.82;2.54;0.60;6.61;58
6/6/21 4.00;27.11;1.06;0.64;5.21;54
6/6/21 6.00;24.66;7.21;0.91;11.52;49
6/6/21 8.00;16.12;6.40;1.14;11.10;32
6/6/21 10.00;21.98;15.87;3.50;23.75;44
6/6/21 12.00;16.12;17.13;2.71;23.74;32
6/6/21 14.00;17.09;12.23;1.67;17.48;34
6/6/21 16.00;22.22;9.75;1.37;14.65;44
6/6/21 18.00;22.47;15.39;2.12;21.17;45
6/6/21 20.00;19.29;38.51;2.76;44.16;39
6/6/21 22.00;21.49;25.88;1.10;29.60;43
7/6/21 0.00;27.35;9.66;0.71;13.55;55
7/6/21 2.00;29.30;3.13;0.60;7.17;59
7/6/21 4.00;16.36;8.68;0.68;11.16;33
7/6/21 6.00;16.36;15.20;2.00;19.38;33
7/6/21 8.00;21.00;19.25;2.58;24.12;42
7/6/21 10.00;28.57;18.66;3.66;25.20;57
7/6/21 12.00;27.84;16.48;3.94;23.56;56
7/6/21 14.00;17.34;11.83;3.57;18.59;35
7/6/21 16.00;23.44;14.02;2.44;18.92;47
7/6/21 18.00;13.68;26.51;7.14;38.01;27
7/6/21 20.00;21.25;25.40;1.60;28.46;42
7/6/21 22.00;12.94;13.81;1.37;17.09;26
8/6/21 0.00;24.42;7.80;1.15;11.04;49
8/6/21 2.00;15.38;5.86;0.61;8.37;31
8/6/21 4.00;15.87;2.47;0.83;5.49;32
8/6/21 6.00;20.51;12.67;0.05;13.99;41
8/6/21 8.00;17.34;19.55;4.13;26.77;35
8/6/21 10.00;25.64;12.99;4.28;20.77;51
8/6/21 12.00;16.12;8.83;3.22;15.20;32
8/6/21 14.00;48.11;6.36;2.28;11.41;96
8/6/21 16.00;23.93;9.94;3.82;17.17;48
8/6/21 18.00;22.95;10.91;2.68;16.35;46
8/6/21 20.00;16.61;16.49;4.50;24.44;33
8/6/21 22.00;8.79;4.95;1.23;8.47;18
9/6/21 0.00;16.12;5.70;1.74;9.94;32
9/6/21 2.00;13.19;4.16;0.93;7.24;26
9/6/21 12.00;21.25;10.89;2.75;15.13;42
9/6/21 14.00;16.85;14.58;3.28;19.32;34
9/6/21 16.00;13.43;14.82;3.51;19.88;27
9/6/21 18.00;12.70;17.80;2.99;21.79;25
9/6/21 20.00;20.51;19.86;2.19;22.45;41
9/6/21 22.00;18.80;10.22;0.97;11.79;38
10/6/21 0.00;23.44;13.84;0.80;14.83;47
10/6/21 2.00;19.78;3.38;0.87;5.41;40
10/6/21 4.00;15.38;4.14;1.05;6.37;31
10/6/21 6.00;16.36;20.47;2.68;24.00;33
10/6/21 8.00;16.61;24.35;5.03;31.19;33
10/6/21 12.00;31.99;13.47;3.18;20.66;64
10/6/21 14.00;27.11;12.28;2.64;18.59;54
10/6/21 16.00;23.44;14.45;2.70;20.95;47
10/6/21 18.00;23.93;17.70;2.83;24.54;48
10/6/21 20.00;15.87;26.90;4.16;36.20;32
10/6/21 22.00;17.09;13.60;0.84;17.21;34
11/6/21 0.00;19.05;9.88;0.82;13.29;38
11/6/21 2.00;23.20;2.74;0.93;6.00;46
11/6/21 4.00;16.61;3.56;0.60;5.98;33
11/6/21 6.00;10.26;10.03;0.86;13.18;21
11/6/21 8.00;19.78;23.81;5.54;34.83;40
11/6/21 10.00;19.29;39.26;26.49;83.18;42
11/6/21 12.00;21.98;15.14;4.01;23.37;44
11/6/21 14.00;14.16;12.14;3.61;19.60;28
11/6/21 16.00;15.63;14.57;3.21;21.54;31
11/6/21 18.00;20.27;24.74;8.77;40.75;41
11/6/21 20.00;18.80;30.79;5.03;41.37;38
11/6/21 22.00;15.14;10.20;0.90;13.43;30
12/6/21 0.00;17.09;13.15;0.80;16.37;34
12/6/21 2.00;14.90;3.69;0.74;6.33;30
12/6/21 4.00;19.78;3.48;0.53;5.79;40
12/6/21 6.00;47.62;9.39;0.90;12.56;95
12/6/21 8.00;23.69;15.57;3.35;22.82;47
12/6/21 10.00;11.72;13.02;2.95;19.52;23
12/6/21 12.00;5.86;10.93;3.18;17.69;12
12/6/21 14.00;35.16;7.76;2.12;12.73;70
12/6/21 16.00;17.58;10.31;2.54;16.04;35
12/6/21 18.00;12.21;14.92;3.46;22.29;24
12/6/21 20.00;11.72;15.99;2.11;21.36;23
12/6/21 22.00;10.26;13.89;0.81;17.16;21
13/6/21 0.00;15.87;17.19;0.98;20.89;32
13/6/21 2.00;9.04;5.83;0.83;8.72;18
13/6/21 4.00;7.33;2.78;0.82;5.88;15
13/6/21 6.00;14.65;4.92;0.75;7.89;29
13/6/21 8.00;10.99;4.97;1.09;8.46;22
13/6/21 10.00;12.94;10.03;2.10;15.00;26
13/6/21 12.00;42.74;8.47;1.81;13.01;85
13/6/21 14.00;21.25;6.62;1.42;10.60;42
13/6/21 16.00;16.85;12.31;2.04;17.17;34
13/6/21 18.00;39.32;13.51;2.28;18.73;79
13/6/21 20.00;19.54;26.82;1.84;31.20;39
13/6/21 22.00;9.77;14.17;1.47;18.14;20
14/6/21 0.00;4.88;14.76;1.42;18.64;10
14/6/21 2.00;9.52;7.69;1.64;11.99;19
14/6/21 4.00;10.26;7.17;1.20;10.80;21
14/6/21 6.00;6.35;6.85;2.29;12.15;13
14/6/21 8.00;15.63;12.43;5.34;22.34;31
14/6/21 10.00;16.85;12.00;4.94;21.30;34
14/6/21 12.00;39.80;11.69;4.59;20.46;80
14/6/21 14.00;20.02;10.78;3.45;17.82;40
14/6/21 16.00;10.01;9.41;2.60;15.16;20
14/6/21 18.00;10.26;12.49;4.65;21.34;21
14/6/21 20.00;7.33;13.07;2.41;18.49;15
14/6/21 22.00;15.38;10.38;1.33;14.16;31
15/6/21 0.00;12.70;5.49;1.50;9.60;25
15/6/21 2.00;15.87;2.31;1.43;6.35;32
15/6/21 4.00;16.85;5.16;2.67;11.17;34
15/6/21 6.00;48.60;8.10;1.95;12.97;97
15/6/21 8.00;24.18;23.18;12.96;44.76;48
15/6/21 10.00;21.49;8.33;3.12;15.00;43
15/6/21 12.00;10.74;12.12;4.51;20.86;21
15/6/21 14.00;5.37;9.53;2.95;15.93;11
15/6/21 16.00;2.69;12.52;3.40;19.57;10
15/6/21 18.00;7.08;15.64;3.74;23.17;14
15/6/21 20.00;38.34;24.52;5.79;35.09;77
15/6/21 22.00;19.05;16.96;1.41;20.90;38
16/6/21 0.00;9.52;12.66;1.19;16.32;19
16/6/21 2.00;4.64;5.73;0.78;8.84;9
16/6/21 4.00;37.12;3.46;1.15;7.17;74
16/6/21 6.00;18.56;16.33;2.28;21.61;37
16/6/21 8.00;9.28;26.60;5.65;36.93;19
